brand,model,model_year,mileage,fuel_type,transmission,exterior_color,interior_col,accident,clean_title,price,engine_size_L,car_age,miles_per_year
GMC,Yukon Denali Ultimate,2023,9978,Gasoline,Automatic,White,Gold,None reported,Yes,93999,6.2,2,4989.0
Ford,Shelby GT350R Base,2018,18500,Gasoline,Manual,Blue,Black,At least 1 accident or damage reported,Yes,77999,5.2,7,2642.8571428571427
Cadillac,Escalade Premium Luxury Platinum,2021,72843,Gasoline,Automatic,Sandstone Metallic,Dark Auburn,None reported,Yes,79990,6.2,4,18210.75
Buick,LaCrosse Base,2017,67500,Gasoline,Automatic,Black,Beige,None reported,Yes,20000,3.6,8,8437.5
Tesla,Model X Long Range Plus,2020,43534,Gasoline,Automatic,Black,Black,None reported,Yes,65990,Unknown,5,8706.8
Mercedes-Benz,E-Class E 300 4MATIC,2017,36900,Gasoline,Automatic,Gray,Beige,None reported,Yes,28500,2.0,8,4612.5
Chevrolet,Tahoe LT,2017,61720,E85 Flex Fuel,Automatic,Silver,Jet Black,At least 1 accident or damage reported,No,39998,5.3,8,7715.0
Kia,Telluride EX,2022,35938,Gasoline,Automatic,Glacial White Pearl,Black,None reported,No,43329,3.8,3,11979.333333333334
Toyota,Tundra Hybrid Limited,2023,10748,Hybrid,Automatic,Midnight Black Metallic,Black,None reported,No,63100,3.4,2,5374.0
Audi,S8 4.0T quattro,2023,4457,Gasoline,Automatic,Mythos Black Metallic,Black,None reported,No,107900,4.0,2,2228.5
Nissan,Armada Platinum,2018,108206,Gasoline,Automatic,White,Charcoal,At least 1 accident or damage reported,No,26498,5.6,7,15458.0
Land,Rover Discovery HSE,2020,32705,Diesel,Automatic,Portofino Blue Metallic,Tan/Ebony/Ebony,None reported,No,46598,3.0,5,6541.0
Kia,Telluride S,2020,74026,Gasoline,Automatic,Sangria Red,Black,None reported,No,32913,3.8,5,14805.2
Lexus,GS 350 F Sport,2020,24651,Gasoline,Automatic,Ultra White,Black,None reported,No,45950,3.5,5,4930.2
BMW,X6 xDrive40i,2022,13000,Hybrid,Unknown,Gray,Orange,None reported,Yes,69000,3.0,3,4333.333333333333
Land,Rover Range Rover P400 SE SWB,2023,11700,Hybrid,Unknown,Gray,White,None reported,Yes,133500,3.0,2,5850.0
Chevrolet,Silverado 3500 High Country,2015,77500,Diesel,Automatic,Black,Brown,None reported,Yes,54000,6.6,10,7750.0
Maserati,Quattroporte Sport GT,2007,82000,Gasoline,Unknown,Black,Black,At least 1 accident or damage reported,Yes,7999,4.2,18,4555.555555555556
Dodge,Viper GTC,2017,1389,Gasoline,Manual,Black,Black,None reported,Yes,489995,8.4,8,173.625
Ford,Expedition Limited,2021,29830,Gasoline,Automatic,Magnetic Metallic,Ebony,None reported,No,55329,3.5,4,7457.5
Mazda,Mazda6 i Grand Touring,2016,83100,Gasoline,Automatic,White,White,None reported,Yes,17800,Unknown,9,9233.333333333334
Kia,Optima LX,2019,62660,Gasoline,Automatic,White,Black,None reported,Yes,16500,2.4,6,10443.333333333334
Land,Rover Range Rover Sport SVR,2018,56006,Gasoline,Unknown,Silver,White,None reported,Yes,59000,5.0,7,8000.857142857143
Lexus,RX 450h F SPORT Handling,2021,31365,Hybrid,Unknown,Beige,Red,None reported,No,52998,3.5,4,7841.25
Lincoln,Town Car Base,2004,27600,Gasoline,Automatic,Black,White,None reported,Yes,14900,4.6,21,1314.2857142857142
Honda,Civic Si,2012,47245,Gasoline,Manual,White,Black,None reported,Yes,19600,2.4,13,3634.230769230769
Lexus,RX 450h Base,2017,73948,Hybrid,Automatic,White,Beige,None reported,Yes,31990,3.5,8,9243.5
RAM,1500 Classic Warlock,2019,36757,E85 Flex Fuel,Automatic,Diamond Black,Diesel Gray / Black,None reported,Yes,31953,3.6,6,6126.166666666667
Tesla,Model Y Long Range,2023,4786,Gasoline,Automatic,White,White,None reported,Yes,48000,Unknown,2,2393.0
Audi,RS 3 2.5T,2023,1900,Gasoline,Unknown,Gray,Black,None reported,Yes,78900,2.5,2,950.0
Hyundai,Genesis Coupe 3.8 R-Spec,2014,52060,Gasoline,Manual,Black,Black,At least 1 accident or damage reported,Yes,15000,3.8,11,4732.727272727273
Porsche,Boxster RS 60 Spyder,2008,58000,Gasoline,Manual,Silver,Black,None reported,Yes,41500,3.4,17,3411.764705882353
Ford,F-250 XLT,2010,52246,Diesel,Manual,Tan,Medium Stone,None reported,Yes,26095,6.4,15,3483.0666666666666
Kia,Sorento EX,2016,64290,Gasoline,Automatic,Snow White Pearl,Satin Black,None reported,No,16999,2.0,9,7143.333333333333
Nissan,370Z Touring,2009,37500,Gasoline,Manual,Silver,Orange,None reported,Yes,21500,3.7,16,2343.75
Genesis,G70 2.0T,2023,2121,Gasoline,Automatic,White,Red,None reported,Yes,40750,2.0,2,1060.5
Land,Rover Range Rover Sport Supercharged,2013,57000,Gasoline,Unknown,White,Beige,None reported,Yes,26000,5.0,12,4750.0
Mercedes-Benz,S-Class S 560 4MATIC,2020,22000,Gasoline,Automatic,White,Beige,None reported,Yes,69500,4.0,5,4400.0
Ford,Bronco Wildtrak Advanced,2023,2000,Gasoline,Automatic,Black,Black,None reported,Yes,66500,2.7,2,1000.0
RAM,1500 SLT,2018,61802,E85 Flex Fuel,Automatic,Black,Gray,None reported,Yes,32000,3.6,7,8828.857142857143
Dodge,Challenger R/T,2010,73000,Gasoline,Automatic,Black,Black,None reported,Yes,17500,Unknown,15,4866.666666666667
Chevrolet,Sonic LT,2013,110000,Gasoline,Automatic,Gray,Black,None reported,Yes,7500,Unknown,12,9166.666666666666
Jeep,Grand Cherokee Laredo,2013,106700,E85 Flex Fuel,Automatic,Black,Black,None reported,Yes,13500,3.6,12,8891.666666666666
Audi,RS 5 4.2,2013,75965,Gasoline,Automatic,White,Black,At least 1 accident or damage reported,Yes,35999,4.2,12,6330.416666666667
Jeep,Grand Cherokee L Overland,2022,31804,Gasoline,Automatic,Silver Zynith,Global Black,At least 1 accident or damage reported,Yes,48995,3.6,3,10601.333333333334
Mazda,MX-5 Miata Base,1992,125800,Gasoline,Manual,Red,Black,None reported,Yes,11500,Unknown,33,3812.121212121212
Chrysler,Crossfire Limited,2005,116320,Gasoline,Automatic,Gray,Red,At least 1 accident or damage reported,Yes,6000,3.2,20,5816.0
Audi,S5 4.2 Premium Plus,2011,156875,Gasoline,Manual,Black,Red,At least 1 accident or damage reported,Yes,9900,4.2,14,11205.357142857143
Tesla,Model X Base,2023,197,Gasoline,Automatic,Blue,Black,None reported,Yes,85000,Unknown,2,98.5
Cadillac,CT4 Luxury,2020,35200,Gasoline,Automatic,Blue,Black,None reported,Yes,28500,2.0,5,7040.0
Maserati,Ghibli S Q4,2014,76000,Gasoline,Automatic,Black,Black,None reported,Yes,19000,3.0,11,6909.090909090909
Jaguar,F-PACE 25t Premium,2019,29000,Gasoline,Automatic,White,Black,None reported,Yes,34500,2.0,6,4833.333333333333
BMW,750 i xDrive,2019,33499,Gasoline,Automatic,Gray,Black,At least 1 accident or damage reported,Yes,44495,4.4,6,5583.166666666667
Acura,TLX V6 Advance,2019,25779,Gasoline,Automatic,Platinum White Pearl,Ebony,At least 1 accident or damage reported,No,30999,3.5,6,4296.5
GMC,Terrain SLT-1,2015,76296,Gasoline,Automatic,Gray,Black,At least 1 accident or damage reported,Yes,9500,2.4,10,7629.6
BMW,i3 Base w/Range Extender,2014,29553,Gasoline,Automatic,Black,Gray,None reported,Yes,12800,0.65,11,2686.6363636363635
Nissan,Versa 1.8 S,2011,109902,Gasoline,Automatic,Blue,Gray,None reported,Yes,4500,1.8,14,7850.142857142857
Mercedes-Benz,C-Class C 300 4MATIC,2019,23083,Gasoline,Automatic,White,Beige,None reported,Yes,33500,2.0,6,3847.1666666666665
Toyota,Matrix XRS,2003,143600,Gasoline,Manual,Black,Black,None reported,Yes,4199,1.8,22,6527.272727272727
RAM,1500 Limited,2021,22000,Gasoline,Automatic,Black,Black,None reported,Yes,54800,5.7,4,5500.0
Mercedes-Benz,AMG E 53 Base 4MATIC,2022,13000,Hybrid,Automatic,Silver,Black,None reported,Yes,81500,3.0,3,4333.333333333333
Audi,A5 2.0T Premium,2018,53000,Gasoline,Automatic,White,Brown,At least 1 accident or damage reported,Yes,28000,2.0,7,7571.428571428572
Lincoln,Navigator Reserve,2019,44741,Gasoline,Automatic,Beige,Beige,None reported,Yes,52999,3.5,6,7456.833333333333
Audi,A6 3.2 quattro,2008,202000,Gasoline,Automatic,Blue,Gray,At least 1 accident or damage reported,Yes,5700,3.2,17,11882.35294117647
Chevrolet,Silverado 1500 LT Crew Cab,2006,215000,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,6995,6.0,19,11315.78947368421
Mercedes-Benz,S-Class S 560,2019,77138,Gasoline,Automatic,designo Diamond White,Black,None reported,No,49998,4.0,6,12856.333333333334
Volvo,XC90 T6 Momentum,2018,90641,Gasoline,Automatic,White,Amber,None reported,No,25999,2.0,7,12948.714285714286
Toyota,Camry SE,2011,177702,Gasoline,Automatic,Gray,Gray,At least 1 accident or damage reported,Yes,7700,2.5,14,12693.0
Mercedes-Benz,Metris Base,2018,58350,Gasoline,Automatic,Black,Black,None reported,Yes,29497,2.0,7,8335.714285714286
Chevrolet,Camaro 2LT,2010,86170,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,17000,3.6,15,5744.666666666667
Mazda,MX-5 Miata Grand Touring,2012,36568,Gasoline,Manual,Blue,Beige,At least 1 accident or damage reported,Yes,20199,2.0,13,2812.923076923077
Ford,Escape SE,2015,54357,Gasoline,Automatic,White,Gray,None reported,Yes,16250,1.6,10,5435.7
Mercedes-Benz,S-Class S 63 AMG,2015,20394,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,No,59598,5.5,10,2039.4
Kia,Niro EX,2023,7578,Hybrid,Automatic,Snow White Pearl,Charcoal,None reported,No,31113,1.6,2,3789.0
Porsche,Boxster Base,2010,64800,Gasoline,Manual,Gray,Gray,At least 1 accident or damage reported,Yes,20900,2.9,15,4320.0
Toyota,4Runner Trail,2016,117780,Gasoline,Automatic,Gray,Black,None reported,Yes,27750,4.0,9,13086.666666666666
Hyundai,Kona EV SEL,2019,33100,Gasoline,Automatic,Black,Black,None reported,Yes,18200,Unknown,6,5516.666666666667
Land,Rover Range Rover Evoque SE,2016,86202,Gasoline,Automatic,Black,Black,None reported,Yes,18750,2.0,9,9578.0
Ford,E350 Super Duty XLT,2012,163000,E85 Flex Fuel,Automatic,White,Gray,None reported,Yes,19550,5.4,13,12538.461538461539
Mercedes-Benz,SL-Class SL500 Roadster,2004,35400,Gasoline,Automatic,Black,Gray,None reported,Yes,24900,5.0,21,1685.7142857142858
Jeep,Compass Trailhawk,2018,31000,Gasoline,Automatic,Gray,Black,None reported,Yes,22000,2.4,7,4428.571428571428
Mercedes-Benz,S-Class S 560 4MATIC,2018,103069,Gasoline,Automatic,Anthracite Blue Metallic,Silk Beige/Espresso Brown,None reported,No,40998,4.0,7,14724.142857142857
Mercedes-Benz,G-Class G 550 4MATIC,2021,22480,Gasoline,Automatic,White,Brown,None reported,Yes,135800,4.0,4,5620.0
Tesla,Model X P90D,2016,91000,Gasoline,Automatic,Silver,White,None reported,Yes,39500,Unknown,9,10111.111111111111
Lexus,IS-F Base,2010,41500,Gasoline,Automatic,Blue,Black,At least 1 accident or damage reported,Yes,44800,5.0,15,2766.6666666666665
BMW,335 i,2010,91545,Gasoline,Automatic,Black,Black,None reported,Yes,13000,3.0,15,6103.0
Audi,RS 7 4.0T,2022,4100,Hybrid,Automatic,Blue,Black,None reported,Yes,162500,4.0,3,1366.6666666666667
Buick,Lucerne CXL,2006,110000,Gasoline,Automatic,Gold,Beige,None reported,Yes,5000,4.6,19,5789.473684210527
Lincoln,MKX Reserve,2016,88000,Gasoline,Unknown,Black,Black,None reported,Yes,18500,2.7,9,9777.777777777777
Nissan,Armada Platinum,2018,42833,Gasoline,Unknown,Blue,Gray,None reported,Yes,37000,5.6,7,6119.0
Porsche,911 Carrera,2020,23278,Gasoline,Automatic,Blue,Unknown,None reported,No,114998,3.0,5,4655.6
Mercedes-Benz,E-Class 400E,1993,106983,Gasoline,Automatic,White,Gray,None reported,Yes,15300,Unknown,32,3343.21875
BMW,435 Gran Coupe i,2015,60100,Gasoline,Automatic,Blue,Beige,None reported,Yes,24995,3.0,10,6010.0
Jeep,Wagoneer Series III,2022,17381,Gasoline,Automatic,Velvet Red Pearlcoat,Global Black,None reported,Yes,69685,5.7,3,5793.666666666667
Cadillac,ATS 2.5L,2013,63172,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,12995,2.5,12,5264.333333333333
Ford,Transit Connect XLT,2010,72000,Gasoline,Automatic,White,Gray,At least 1 accident or damage reported,Yes,10900,2.0,15,4800.0
Kia,EV6 GT-Line,2022,4820,Gasoline,Automatic,Red,Black,None reported,Yes,47500,Unknown,3,1606.6666666666667
Audi,S5 3.0T Premium Plus,2014,67900,Gasoline,Manual,Silver,Black,Unknown,No,25990,3.0,11,6172.727272727273
Toyota,Tundra SR,2018,51000,Gasoline,Automatic,Black,Gray,None reported,Yes,38000,5.7,7,7285.714285714285
Jeep,Wrangler Unlimited Freedom Edition,2013,54500,Gasoline,Automatic,Green,Black,None reported,Yes,35000,3.6,12,4541.666666666667
Maserati,Quattroporte Base,2006,61840,Gasoline,Unknown,Gray,Beige,None reported,Yes,16500,4.2,19,3254.7368421052633
Mercedes-Benz,CLS-Class CLS500,2006,28950,Gasoline,Automatic,Blue,Beige,Unknown,No,16750,5.0,19,1523.6842105263158
GMC,Sierra 3500 SLE,2002,300000,Diesel,Automatic,Black,Gray,At least 1 accident or damage reported,Yes,5000,6.6,23,13043.478260869566
Nissan,Frontier SL,2011,103400,Gasoline,Automatic,Gray,Gray,At least 1 accident or damage reported,Yes,17000,4.0,14,7385.714285714285
BMW,M5 Base,2023,816,Gasoline,Automatic,Alpine White,Black,None reported,No,109900,4.4,2,408.0
Porsche,911 R,2016,719,Gasoline,Manual,White,Black / Brown,None reported,Yes,489000,4.0,9,79.88888888888889
Land,Rover Defender X-Dynamic SE,2023,3678,Hybrid,Automatic,Fuji White,Black,None reported,No,81998,3.0,2,1839.0
Ford,F-150 XL,2016,107000,E85 Flex Fuel,Automatic,White,Gray,At least 1 accident or damage reported,Yes,22000,5.0,9,11888.888888888889
BMW,M8 Competition,2022,5018,Gasoline,Automatic,–,Sakhir Orange/Black,None reported,No,114998,4.4,3,1672.6666666666667
Porsche,911 Carrera S,2010,13850,Gasoline,Manual,Black,Black,None reported,Yes,71400,3.8,15,923.3333333333334
Volvo,XC70 3.2,2008,46700,Gasoline,Automatic,White,Beige,Unknown,No,11400,3.2,17,2747.0588235294117
Chrysler,300 Touring,2021,21478,Gasoline,Automatic,Silver Mist,Black,None reported,No,27798,3.6,4,5369.5
Honda,Insight EX,2020,64200,Hybrid,CVT,White,Black,At least 1 accident or damage reported,Yes,20499,1.5,5,12840.0
Porsche,Cayman S,2006,31075,Gasoline,Automatic,Black,Black / Stone Grey,None reported,Yes,36250,3.4,19,1635.5263157894738
Tesla,Model Y Performance,2022,25250,Gasoline,Automatic,White,White,None reported,Yes,47800,Unknown,3,8416.666666666666
BMW,M5 Competition,2020,35400,Gasoline,Automatic,Orange,Black,None reported,Yes,71950,4.4,5,7080.0
Audi,S4 4.2 quattro,2004,74030,Gasoline,Manual,Silver,Gray,None reported,Yes,16000,4.2,21,3525.2380952380954
Ford,F-250 Platinum,2021,48549,Diesel,Automatic,Antimatter Blue Metallic,Black,None reported,No,69998,6.7,4,12137.25
Kia,Seltos S,2023,5182,Gasoline,Automatic,White,Black,None reported,Yes,32500,2.0,2,2591.0
RAM,ProMaster 2500 High Roof,2019,31681,Gasoline,Automatic,White,Black,At least 1 accident or damage reported,Yes,33500,3.6,6,5280.166666666667
BMW,M760 M760i xDrive,2020,23430,Gasoline,Automatic,White,Black,None reported,No,80998,6.6,5,4686.0
Mercedes-Benz,E-Class E 400,2015,30300,Gasoline,Automatic,White,Black,At least 1 accident or damage reported,Yes,29000,3.0,10,3030.0
Cadillac,XTS Luxury,2016,112000,Gasoline,Automatic,Blue,Beige,At least 1 accident or damage reported,Yes,14599,3.6,9,12444.444444444445
INFINITI,Q50 Premium,2014,127356,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,19990,3.7,11,11577.818181818182
Volkswagen,Touareg V6 Executive,2017,50600,Gasoline,Automatic,Red,Brown,At least 1 accident or damage reported,Yes,28890,3.6,8,6325.0
Chevrolet,Suburban 1500 LTZ,2011,194000,E85 Flex Fuel,Automatic,Black,Black,None reported,Yes,9950,5.3,14,13857.142857142857
Toyota,Tundra SR5,2021,33455,Gasoline,Automatic,Green,Black,None reported,Yes,44750,5.7,4,8363.75
BMW,X1 sDrive28i,2022,43000,Gasoline,Automatic,Gray,Black,None reported,Yes,35750,2.0,3,14333.333333333334
Mercedes-Benz,GL-Class GL 550 4MATIC,2016,46102,Gasoline,Automatic,Black,Beige,None reported,Yes,35300,4.7,9,5122.444444444444
Cadillac,XTS Luxury,2019,59000,Gasoline,Automatic,Black,Black,None reported,Yes,21000,3.6,6,9833.333333333334
Jaguar,XJ8 Base,2004,134000,Gasoline,Automatic,Black,Beige,At least 1 accident or damage reported,Yes,9500,4.2,21,6380.952380952381
Chevrolet,Camaro ZL1,2020,3715,Gasoline,Automatic,Black,Black,None reported,Yes,150000,6.2,5,743.0
Mercedes-Benz,Sprinter 2500,2012,100245,Diesel,Automatic,White,Unknown,At least 1 accident or damage reported,Yes,24000,3.0,13,7711.153846153846
Mercedes-Benz,C-Class C 300 4MATIC,2022,8583,Gasoline,Automatic,Cirrus Silver Metallic,AMG Black,None reported,No,42999,2.0,3,2861.0
Dodge,Dakota SLT,2003,141800,Gasoline,Automatic,Red,Gray,At least 1 accident or damage reported,Yes,5700,4.7,22,6445.454545454545
Audi,A5 2.0T Premium Plus,2012,77000,Gasoline,Automatic,White,Black,None reported,Yes,13800,2.0,13,5923.076923076923
Audi,A5 2.0T Premium,2018,67035,Gasoline,Unknown,Pink,Brown,At least 1 accident or damage reported,Yes,31500,2.0,7,9576.42857142857
Audi,S5 3.0 Premium Plus,2012,61450,Gasoline,Automatic,White,Gray,None reported,Yes,19500,3.0,13,4726.923076923077
Porsche,Panamera GTS,2015,39500,Gasoline,Unknown,Black,Black,None reported,Yes,52590,4.8,10,3950.0
Mercedes-Benz,AMG GT C,2020,6600,Gasoline,Unknown,Black,Beige,None reported,Yes,128900,4.0,5,1320.0
Chevrolet,Camaro 2SS,2023,2300,Gasoline,Manual,Red,Black,None reported,Yes,51500,6.2,2,1150.0
Audi,Q7 Premium Plus,2023,10601,Hybrid,Automatic,Mythos Black,Black,None reported,No,61998,3.0,2,5300.5
Maserati,GranTurismo MC,2018,18000,Gasoline,Unknown,Red,Black,None reported,Yes,67000,4.7,7,2571.4285714285716
GMC,Sierra 2500 AT4,2022,31681,Gasoline,Automatic,Cayenne Red Tintcoat,Jet Black,At least 1 accident or damage reported,No,67963,6.6,3,10560.333333333334
Cadillac,XT6 Sport AWD,2020,24114,Gasoline,Automatic,Garnet Red Metallic,Jet Black,At least 1 accident or damage reported,No,49427,3.6,5,4822.8
Jeep,Grand Cherokee L Laredo,2022,22109,Gasoline,Automatic,Bright White Clearcoat,Global Black,Unknown,No,43389,3.6,3,7369.666666666667
Chevrolet,Avalanche 1500 LT,2012,148000,E85 Flex Fuel,Automatic,Black,Black,None reported,Yes,18000,5.3,13,11384.615384615385
BMW,M5 Base,2018,41000,Gasoline,Unknown,White,White,None reported,Yes,60200,4.4,7,5857.142857142857
Nissan,Titan SE,2009,127600,E85 Flex Fuel,Automatic,Brown,Gray,None reported,Yes,19500,5.6,16,7975.0
Dodge,Ram 1500 SRT-10 Quad Cab,2005,138450,Gasoline,Automatic,Red,Black,At least 1 accident or damage reported,Yes,19000,8.3,20,6922.5
GMC,Sierra 1500 SLT,2013,230000,E85 Flex Fuel,Automatic,White,Black,None reported,Yes,15500,5.3,12,19166.666666666668
Lexus,RX 350 F Sport,2017,53649,Gasoline,Automatic,Black,Red,None reported,Yes,33000,3.5,8,6706.125
Mercedes-Benz,GL-Class GL 450 4MATIC,2012,174000,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,11999,4.6,13,13384.615384615385
INFINITI,QX80 Luxe,2022,49860,Gasoline,Automatic,Black Obsidian,Graphite,At least 1 accident or damage reported,Yes,47645,5.6,3,16620.0
Mercedes-Benz,AMG C 63 S,2021,13650,Gasoline,Automatic,Blue,Black,None reported,Yes,75000,4.0,4,3412.5
BMW,528 i xDrive,2016,134000,Gasoline,Automatic,Brown,Brown,At least 1 accident or damage reported,Yes,13500,2.0,9,14888.888888888889
Porsche,911 Carrera,2014,78000,Gasoline,Unknown,Brown,Brown,None reported,Yes,68000,3.4,11,7090.909090909091
Porsche,Boxster S,2005,65750,Gasoline,Automatic,Blue,Gray,None reported,Yes,21750,3.2,20,3287.5
BMW,X6 M Base,2021,18000,Gasoline,Automatic,Black,Black,None reported,Yes,94000,4.4,4,4500.0
Ford,Mustang Premium,2007,121630,Gasoline,Automatic,White,Black,None reported,Yes,9450,4.0,18,6757.222222222223
Rivian,R1S Launch Edition,2023,4500,Gasoline,Automatic,Silver,Gray,None reported,Yes,89999,Unknown,2,2250.0
Volvo,XC90 Recharge Plug-In Hybrid T8 Inscription 7 Passenger,2022,9408,Hybrid,Automatic,Black,Gray,None reported,No,61999,2.0,3,3136.0
BMW,528 i xDrive,2016,120000,Gasoline,Automatic,White,White,None reported,Yes,16000,2.0,9,13333.333333333334
Cadillac,Escalade ESV Platinum,2016,168600,Gasoline,Automatic,White,Beige,None reported,Yes,29500,6.2,9,18733.333333333332
Chevrolet,Corvette Base,2004,43705,Gasoline,Manual,Gray,Black,None reported,Yes,25900,5.7,21,2081.190476190476
Audi,A5 2.0T Premium,2013,111000,Gasoline,Unknown,Blue,Beige,None reported,Yes,11500,2.0,12,9250.0
Audi,TT 2.0T Premium,2012,64549,Gasoline,Unknown,Silver,Black,None reported,Yes,17000,2.0,13,4965.307692307692
Buick,LaCrosse CX,2007,53000,Gasoline,Automatic,Red,Gray,None reported,Yes,6500,3.8,18,2944.4444444444443
Chevrolet,Camaro 2SS,2017,13465,Gasoline,Automatic,White,Black,None reported,Yes,44900,6.2,8,1683.125
Tesla,Model Y Long Range,2023,5844,Gasoline,Automatic,White,Black,None reported,Yes,52000,Unknown,2,2922.0
BMW,M3 Base,2015,74000,Gasoline,Manual,Gray,Black,None reported,Yes,40000,3.0,10,7400.0
Kia,Optima LX,2011,100331,Gasoline,Automatic,Red,Unknown,At least 1 accident or damage reported,Yes,6900,2.4,14,7166.5
Toyota,Supra 3.0 Premium,2022,24850,Gasoline,Automatic,Black,Black,None reported,Yes,53568,3.0,3,8283.333333333334
Lincoln,Nautilus Reserve,2021,17467,Gasoline,Automatic,Pristine White,Slate,None reported,No,43860,2.0,4,4366.75
Nissan,Pathfinder SL,2015,115000,Gasoline,Automatic,Gray,Black,None reported,Yes,11995,3.5,10,11500.0
BMW,X5 xDrive50i,2015,72000,Gasoline,Unknown,Black,Brown,At least 1 accident or damage reported,Yes,26500,4.4,10,7200.0
Mazda,MazdaSpeed3 Grand Touring,2008,162000,Gasoline,Manual,Black,Black,At least 1 accident or damage reported,Yes,6500,2.3,17,9529.411764705883
GMC,Yukon XL SLT,2017,47589,Gasoline,Automatic,Black,Black,None reported,Yes,45500,5.3,8,5948.625
Toyota,bZ4X Limited,2023,6548,Gasoline,Automatic,Wind Chill Pearl,Black,None reported,No,41999,Unknown,2,3274.0
RAM,ProMaster 2500 High Roof,2018,10339,Gasoline,Automatic,White,Gray,None reported,Yes,36990,3.6,7,1477.0
RAM,1500 Classic SLT,2021,32092,Gasoline,Automatic,Patriot Blue Pearlcoat,Black,None reported,Yes,35113,3.6,4,8023.0
Lexus,GS 350 Base,2014,85275,Gasoline,Automatic,Nebula Gray Pearl,Black,At least 1 accident or damage reported,No,23998,3.5,11,7752.272727272727
Hyundai,Tucson Limited,2016,138000,Gasoline,Automatic,Brown,Beige,None reported,Yes,10990,1.6,9,15333.333333333334
Chevrolet,SSR Base,2003,87500,Gasoline,Automatic,Red,Black,None reported,Yes,16999,5.3,22,3977.2727272727275
Maserati,GranTurismo Base,2013,34920,Gasoline,Automatic,Gray,Brown,None reported,Yes,38900,4.7,12,2910.0
Tesla,Model X Performance,2020,27224,Gasoline,Automatic,Black,Black,None reported,No,65999,Unknown,5,5444.8
BMW,M2 Base,2018,25000,Gasoline,Automatic,Black,Black,None reported,Yes,52000,3.0,7,3571.4285714285716
Tesla,Model Y Long Range,2021,14642,Gasoline,Automatic,Red,Black,None reported,Yes,48500,Unknown,4,3660.5
Subaru,Outback 2.5i Limited,2015,162000,Gasoline,CVT,Gray,Black,None reported,Yes,13999,2.5,10,16200.0
Buick,Roadmaster Estate,1996,119500,Gasoline,Automatic,White,Beige,At least 1 accident or damage reported,Yes,16999,5.7,29,4120.689655172414
Land,Rover Range Rover 5.0L Supercharged,2017,101800,Gasoline,Automatic,Silver,Black,None reported,Yes,36500,5.0,8,12725.0
Ford,Expedition Max XLT,2021,84351,Gasoline,Automatic,Blue,Ebony,None reported,Yes,42691,3.5,4,21087.75
Nissan,Leaf SL,2012,26930,Gasoline,Automatic,White,Beige,None reported,Yes,6700,Unknown,13,2071.5384615384614
Toyota,Tacoma TRD Pro,2019,40698,Gasoline,Unknown,Super White,Black,None reported,No,42886,3.5,6,6783.0
Mercedes-Benz,AMG GT 63 S 4-Door,2020,40000,Gasoline,Automatic,Black,Red,None reported,Yes,112500,4.0,5,8000.0
BMW,230 i,2019,30000,Gasoline,Automatic,Blue,Beige,At least 1 accident or damage reported,Yes,29000,2.0,6,5000.0
Lexus,ES 350 Base,2007,78980,Gasoline,Automatic,Silver,Beige,At least 1 accident or damage reported,Yes,10600,3.5,18,4387.777777777777
Porsche,911 Carrera S Cabriolet,2007,28844,Gasoline,Manual,White,Beige,Unknown,No,69995,3.8,18,1602.4444444444443
Porsche,Taycan Turbo,2020,21028,Gasoline,Unknown,BLACK,BEIGE,None reported,No,96900,Unknown,5,4205.6
Maserati,Levante Modena,2023,5409,Gasoline,Automatic,Blu,Black,None reported,Yes,88950,3.0,2,2704.5
Dodge,Challenger SRT Hellcat,2020,12700,Gasoline,Automatic,Black,Black,At least 1 accident or damage reported,Yes,69900,6.2,5,2540.0
Mazda,Mazda6 Touring,2021,19000,Gasoline,Automatic,Blue,Black,Unknown,No,25900,2.5,4,4750.0
Audi,S4 3.0T Premium,2019,12000,Gasoline,Automatic,Black,Black,None reported,Yes,48000,3.0,6,2000.0
Ford,Mustang GT Premium,2016,25717,Gasoline,Manual,Black,Black,None reported,Yes,33900,5.0,9,2857.4444444444443
Tesla,Model Y Long Range,2022,12055,Gasoline,Automatic,Blue,Black,None reported,Yes,44400,Unknown,3,4018.3333333333335
Audi,TTS 2.0T Premium Plus,2011,69700,Gasoline,Automatic,Orange,Unknown,At least 1 accident or damage reported,Yes,23000,2.0,14,4978.571428571428
BMW,M2 Competition,2020,25013,Gasoline,Automatic,Black,Black,None reported,Yes,55000,3.0,5,5002.6
Audi,Q4 e-tron Sportback Premium,2023,1156,Gasoline,Automatic,Blue,Black,None reported,Yes,54900,Unknown,2,578.0
BMW,740 i,2016,57939,Gasoline,Automatic,Gray,Black,None reported,Yes,27500,3.0,9,6437.666666666667
Mercedes-Benz,AMG GLE 43 Coupe 4MATIC,2018,52694,Gasoline,Unknown,Gray,Black,None reported,Yes,49999,3.0,7,7527.714285714285
Mercedes-Benz,S-Class S 550 4MATIC,2015,54000,Gasoline,Automatic,White,Beige,None reported,Yes,37000,4.7,10,5400.0
